<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20070116,287.85,288,286,285.51,499195
20070117,288.27,288,286,285.76,589823
20070120,288.69,289,286,286.01,396794
20070121,288.77,289,286,286.43,527002
20070122,289.53,290,287,286.77,402898
20070123,289.95,290,287,287.1,439514
20070124,290.36,290,287,287.44,422735
20070127,290.78,291,288,287.77,383670
20070128,291.28,291,288,288.02,310484
20070131,291.62,292,288,288.36,368779
20070203,292.04,292,289,288.86,585283
20070204,292.46,293,289,289.28,469803
20070205,292.54,293,290,289.61,427497
20070206,292.71,293,290,289.95,479775
20070207,292.79,296,291,291.45,7834586
20070210,295.72,296,292,291.62,445694
20070212,292.96,295,292,291.7,680533
20070213,293.04,296,292,291.87,456875
20070214,293.29,293,292,292.04,669676
20070217,293.21,293,292,292.12,299085
20070218,293.38,293,292,292.21,325988
20070219,293.46,294,292,292.29,323303
20070220,293.63,298,294,294.21,1575249
20070221,296.64,300,296,295.97,1288766
20070224,301.24,302,297,297.14,870319
20070225,297.48,303,297,298.23,868260
20070226,304.17,304,300,299.74,1061800
20070227,304,306,302,302.33,1864927
20070228,308.35,308,308,308.35,4183519
20070313,235.97,241,236,236.56,1858455
20070314,238.99,241,239,239.57,3676651
20070317,244.34,244,242,241.75,4084351
20070319,246.52,247,243,242.83,1397492
20070325,247.69,248,243,243.17,511034
20070326,245.68,248,244,243.59,720351
20070327,247.86,248,244,244.34,1037958
20070328,249.19,249,246,246.1,2028536
20070331,249.36,251,247,246.68,709490
20070403,251.45,252,248,247.94,1449550
20070404,252.88,253,250,249.7,2177817
20070407,254.63,255,254,253.96,5400766
20070408,258.9,259,258,258.9,8730422
20070409,259.49,259,259,258.98,2789276
20070410,259.4,259,259,259.15,1373247
20070411,259.57,260,259,259.24,2033865
20070414,259.74,260,259,259.4,1455486
20070415,259.82,260,259,259.49,1410014
20070416,259.74,260,254,259.57,1857483
20070417,254.38,258,254,258.48,1141575
20070418,253.38,257,253,257.48,1079779
20070421,252.46,256,252,256.39,1113903
20070422,251.29,255,251,255.3,1126007
20070423,250.2,254,250,254.3,1038795
20070424,249.28,253,249,253.29,1032882
20070425,248.27,252,248,252.12,1231006
20070428,248.19,251,247,251.2,3081046
20070429,246.18,250,246,250.2,1149771
20070430,245.26,249,245,249.28,1035725
20070501,244.34,248,244,248.44,1003646
20070502,243.5,248,244,247.6,925745
20070505,242.67,247,243,246.77,938139
20070506,241.91,246,242,245.93,952959
20070507,241.08,245,241,245.01,1030284
20070508,240.16,244,240,244.09,949039
20070509,239.24,243,239,243.42,785310
20070512,238.57,243,239,242.83,614860
20070513,238.57,243,239,241.33,2864045
20070514,238.57,241,239,239.91,13864888
20070515,238.57,240,239,239.65,946045
20070516,238.57,239,239,239.4,1173828
20070519,239.4,239,239,239.4,1023479
20070520,239.49,240,239,239.4,698016
20070521,239.57,240,239,239.4,653036
20070522,239.65,240,239,239.4,10512738
20070523,239.65,240,239,239.4,2563077
20070526,239.65,240,239,239.4,440761
20070527,239.65,240,239,239.4,531618
20070528,239.65,240,239,239.4,1126227
20070529,239.65,240,239,239.4,667485
20070530,239.65,240,239,239.4,4805975
20070602,239.65,240,239,239.4,687879
20070603,239.65,240,239,239.49,1018840
20070606,239.65,240,239,239.49,500753
20070609,239.57,240,235,239.24,278727
20070610,234.47,239,234,239.07,172561
20070611,234.3,239,234,238.99,83655
20070612,234.22,239,234,238.82,174161
20070613,234.05,237,234,237.31,1755071
20070616,232.63,237,233,237.06,293258
20070617,232.37,237,232,236.98,69086
20070619,232.29,232,232,232.29,5597679
20070620,227.69,232,228,231.71,692588
20070623,227.1,230,227,230.28,853036
20070624,225.68,230,226,230.03,139490
20070625,225.51,230,226,229.86,111180
20070626,225.35,230,225,229.78,66263
20070627,225.26,230,225,229.7,42104
20070630,225.18,225,225,225.18,2856999
20070701,220.74,225,221,220.83,5384007
20070702,222.25,222,218,220.66,4689288
20070703,218.15,220,217,220.07,1900238
20070704,218.82,219,216,218.32,3697020
20070707,215.72,218,214,218.07,168895
20070708,213.71,214,214,213.71,6182478
20070709,209.45,210,209,210.45,2127460
20070710,206.69,209,206,206.27,6004004
20070820,122.09,134,121,127.27,6073238
20070821,127.61,130,128,129.7,3862068
20070822,132.3,132,132,132.3,4328883
20070825,134.89,135,135,134.89,4584850
20070826,137.57,138,134,136.98,4366254
20070827,136.98,139,134,136.81,1531928
20070828,134.55,136,134,136.23,1053244
20070901,133.55,136,134,135.81,562714
20070902,133.13,135,133,135.48,454294
20070903,132.8,134,133,132.88,4105818
20070904,133.13,135,133,135.06,3283229
20070905,137.73,138,133,135.56,1224225
20070908,136.81,137,133,135.14,1283341
20070909,133.89,135,132,134.64,1033322
20070910,131.96,134,132,134.47,317883
20070911,131.79,134,132,133.89,1526410
20070912,133.13,134,131,133.55,581662
20070915,130.96,133,131,133.13,642748
20070916,130.54,133,131,133.05,88507
20070917,130.45,133,130,132.96,145294
20070918,130.37,133,130,132.71,317937
20070919,130.12,132,130,132.46,378562
20070922,129.87,132,130,132.13,555401
20070923,129.53,132,130,131.96,250184
20070924,129.37,132,129,131.79,299353
20070925,129.2,132,129,131.63,209813
20070926,129.03,131,129,131.38,435362
20070929,128.78,131,129,130.96,586199
20070930,128.36,131,128,130.87,163714
20071001,128.28,131,128,130.71,246011
20071002,128.11,131,128,130.62,155845
20071006,128.03,130,128,130.2,612591
20071007,127.61,129,128,129.45,3559978
20071008,126.94,129,127,128.95,744916
20071009,126.44,129,126,128.78,198801
20071010,126.27,128,126,128.11,1011953
20071014,125.6,128,126,127.94,281307
20071015,125.43,126,125,126.19,2695476
20071016,123.68,126,124,126.02,275064
20071017,123.51,126,124,125.94,103983
20071020,123.43,126,123,125.85,174082
20071021,123.34,126,123,125.77,155621
20071022,123.26,126,123,125.68,166315
20071023,123.17,125,123,125.43,386260
20071024,123.01,125,123,125.35,137553
20071027,122.92,125,123,125.02,580090
20071028,122.59,125,123,124.85,214747
20071029,122.42,125,122,124.76,160709
20071030,122.34,125,122,124.6,256675
20071031,122.17,124,122,124.35,413118
20071103,121.92,124,122,124.26,90966
20071104,121.84,124,122,124.18,158479
20071105,121.75,124,122,123.93,460544
20071107,121.5,123,122,122.76,1807040
20071110,120.33,122,120,122.34,621306
20071111,119.91,122,120,121.92,709341
20071112,119.49,122,119,121.75,331072
20071113,119.33,122,119,121.5,386043
20071114,119.07,121,119,121.33,294540
20071117,118.91,121,119,121.17,226573
20071118,118.82,120,119,120.33,1397180
20071119,117.99,123,118,118.49,12619784
20071120,120.83,121,121,120.83,4170813
20071121,123.17,123,123,123.17,4062314
20071124,125.6,126,126,125.6,3863521
20071125,128.11,128,128,128.11,3886719
20071126,130.62,131,126,128.61,14359212
20071127,126.94,128,126,127.53,1685617
20071128,125.02,127,125,127.11,673660
20071201,124.6,127,125,126.94,279961
